IE_NAME;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP172;IP_PROP173;IP_PROP174;IP_PROP175;IP_PROP113
"Махачкала, ИП Шихрагимова М.Д., Магазин &quot;Центр лепнины &quot;Барокко&quot; ";пр. Амет-хана Султана, 17;;Проспект Амет-хана Султана, напротив АЗС PULSAR;ИП Шихрагимова Марина Дарвиновна;"Магазин ""Центр лепнины ""Барокко""";;barokko05@yandex.ru;info@lepidecor.ru;Сайт на стадии разработки;09:00 - 19:00;09:00 - 19:00;09:00 - 19:00;Да;;6265
"Элиста, Салон-магазин &quot;Мир обоев&quot; ";ул.Ю. Нейман, д.6 (этаж 1);Торговый дом;;ИП Железная Л.Н.;"Салон-магазин ""Мир обоев""";8472227880;stroyarsenal08@mail.ru;;;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3431
Волжский, «ИЗБА» (ООО «Все потолки») ;ул. Машиностроителей, 14а, 2 этаж;;;ООО «Все потолки»;«ИЗБА»;9270633462;azhukov@inbox.ru;azhukov@inbox.ru;;11:00 - 19:00;Выходной;Выходной;Нет;;3422
Москва, Склад Европласт (с. Булатниково) ;Московская область, Ленинский район, с/п Булатниковское, с. Булатниково, ул. Центральная, дом №1В, стр. №10;;;"ООО ""Декор""";"Европласт ""Склад""";;;;evroplast.ru;;;;Нет;;3109
Москва, д.Черная Грязь  (ИП Буренкова Л.М.) ;д. Черная Грязь, Ленинградское ш., 13 км от МКАД, поворот на ПИКИНО;Строительный рынок  (верхние ряды), д.Черная Грязь;"запрвка ""НЕФТЬМАГИСТРАЛЬ""";ИП Буренкова Л.М.;"""Лепнина""";9672143346;cherngraz@gmail.com;;;"09:00 - 19:00 (лето); 09:00 - 18:00 (зима)";"09:00 - 19:00 (лето); 09:00 - 18:00 (зима)";"09:00 - 19:00 (лето); 09:00 - 18:00 (зима)";Да;;3109
Москва, г. Клин, Лепнина (ИП Буренкова Л.М.) ;г. Клин, 89 км Ленинградское шоссе, пав.15;рынок СтройСервис;;ИП Буренкова Л.М.;Лепнина;84993407941;klinlp@gmail.com;;;09:00 - 18:00;09:00 - 18:00;09:00 - 17:00;Да;;3109
"Москва,  (ООО &quot;ПРОГРЕСС&quot;) ";проспект Маршала Жукова, д. 52, этаж 2;Торговый центр;;"ООО ""ПРОГРЕСС""";Торговый центр;"4952279595;  9154054478; 9851150077";"2279595@gmail.com; svet.okna.info@gmail.com";2279595@gmail.com;;11:00 - 21:00;11:00 - 21:00;11:00 - 19:00;Да;;3109
"Кемерово, Студия &quot;ГрандДекор&quot; (ООО &quot;Гермес&quot;) ";улица Черняховского, д. 3, этаж 1;Магазин;;"ООО ""Гермес""";ГрандДекор;"3842359663; 3842752928";lepnina@granddekor.ru;lepnina@granddekor.ru;granddekor.ru;10:00 - 19:00;11:00 - 17:00;Выходной;Нет;;3145
"Астрахань, центр дизайна &quot;DECOLE&quot;  ";улица Адмиралтейская, д. 30, этаж 1 ;;;"ООО ""Голдстрим""";"центр дизайна ""DECOLE""";8512298867;astra@decole.ru;astra@decole.ru;www.decole.ru;10:00 - 18:00;10:00 - 14:00;Выходной;Нет;;3333
"Владивосток, салон &quot;Oberline&quot; (ООО &quot;Строй-Дом&quot;) ";ул. Русская, д. 87В, этаж 2;"Торговый центр ""Багратион""";;"ООО ""Строй-Дом""";"салон ""Oberline""";"4232573666; 4232377777";;zakaz@china-story.ru;;09:00 - 19:00;09:00 - 19:00;09:00 - 19:00;Да;;6789
"Новокузнецк, Интерьерный салон &quot;Модные обои&quot; (ООО &quot;СКД плюс&quot;) ";проспект Н.Ермакова, д. 30а, этаж 1;"ТПЦ ""Виктория""";;"ООО ""СКД плюс""";"салон ""Модные обои""";"3843328020; 3843460792";novoboi@yandex.ru;opt@evroplast-nsk.ru;www.nov-oboi.ru;10:00 - 19:00;10:00 - 18:00;10:00 - 18:00;Да;;3696
"Новокузнецк, интерьерный салон &quot;DeLuxe&quot; (ООО &quot;ДеЛюкс&quot;) ";улица Воробьева, д. 3, этаж 1;;;"ООО ""ДеЛюкс""";"интерьерный салон ""DeLuxe""";3843722727;salon@deluxenk.ru;opt@evroplast-nsk.ru;www.deLuxe.ru;09:00 - 18:00;Выходной;09:00 - 18:00;Нет;;3696
"Ленинск-Кузнецкий, &quot;Derufa&quot; (ИП Попов Е.О.) ";проспект Кирова, д. 108, корпус А, этаж 1;торгово-отделочная компания;;ИП Попов Е.О.;Derufa;3845670007;popov_lk@mail.ru;lepnina@granddekor.ru;;09:00 - 19:00;10:00 - 17:00;10:00 - 17:00;Да;;6798
Юрга, ДиоР (ИП Гоциридзе И.С.) ;улица  Московская, д. 21, этаж 1;салон-магазин;;ИП Гоциридзе И.С.;ДиоР;3845142503;dior987@mail.ru;lepnina@granddekor.ru;;10:00 - 19:00;11:00 - 16:00;11:00 - 16:00;Да;;6799
Полысаево, Строитель (ИП Шахов С.В.) ;улица Крупской, д. 129, этаж 1;магазин;;ИП Шахов С.В.;Строитель;9236027717;stroitel_lk@mail.ru;lepnina@granddekor.ru;;09:00 - 18:00;09:00 - 18:00;09:00 - 17:00;Да;;6800
"Анжеро-Судженск, &quot;Эконом-строй&quot; (ИП Головин С.В.) ";улица Горняцкая, д. 4, этаж 3;магазин;;ИП Головин С.В.;"""Эконом-строй""";3845364545;ira.golovina.83@mail.ru;lepnina@granddekor.ru;;09:00 - 17:00;09:00 - 18:00;09:00 - 18:00;Да;;6801
"Москва, МФТК &quot;Каширский двор&quot; (Европласт) ";Каширское ш, д. 19, корп. 1, 2-й этаж, павильон 2-С90;"МФТК ""Каширский двор""";;"ООО ""Декор""";"Фирменный салон ""Европласт""";4956408851;kdvor@decor-evroplast.ru;kdvor@decor-evroplast.ru;www.evroplast.ru;09:00 - 21:00;09:00 - 21:00;09:00 - 21:00;Да;;3109
Тамбов, Престиж Декор (ИП Куприна О.В.) ;улица Мичуринская, д. 87;;;ИП Куприна О.В.;Престиж Декор;4752-531717;;;;09:00 - 18:00;09:00 - 15:00;09:00 - 15:00;Да;;3211
Тамбов, Престиж Декор (ИП Куприна О.В.) ;ул. Н.Вирты, 201 А;;;ИП Куприна О.В.;Престиж Декор;4752-511000;;;;09:00 - 18:00;09:00 - 15:00;09:00 - 15:00;Да;;3211
"Тобольск, &quot;Строй Стиль&quot; (ИП Бакиев Р.Р.) ";"Ул.Семена Ремезова, 123, стр.2, корпус ""Стрела"", пав. №8";"ТЦ ""Ермак""";;ИП Бакиев Р.Р.;"""Строй Стиль""";9199468577;bakievaalla@mail.ru;;;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3616
Тула, Магазин ЛЕПНИНА (И.П. Новиков Р.В.) ;ул. Мосина, д. 2, 1 этаж;Магазин Лепного Декора;;И.П. Новиков Р.В.;Магазин ЛЕПНИНА;"9255094511; 9207779362; 9255060319";lepnina89@maill.ru;lepnina89@maill.ru;www.europlast-lepnina.ru;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3217
"Арсеньев, салон &quot;салон Арс-Деко&quot; (ИП ИВАКИН И.В.) ";ул. Садовая, д. 23;Торговая точка (магазин);;ИП ИВАКИН И.В.;"салон ""Арс-Деко""";4236153194;ars-deco@bk.ru;ars-deco@bk.ru;;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;Да;;6833
"Саратов, ООО &quot;Дизайн-Паркет&quot; Клондайк ";улица Кутякова, д. 94, этаж 1;;Магазин находится на ул. Кутякова, между ул. Чапаева и ул. Рахова;ООО «Дизайн Паркет»;Клондайк;"9372255400; 9372250760";;;;09:00 - 19:00;09:00 - 18:00;09:00 - 18:00;Да;;3194
Москва, В 42 (ИП КАЮМОВ А. А.) ;"Строительный двор ""Петровский"", Пав. В42,  9 km. Новорижского шоссе, в сторону Николо-Урюпино, Поздняково.";ТК Петровский;;ИП КАЮМОВ А. А.;В 42;"9299506119; 9261743368";lepninav42@mail.ru;;;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3109
"Бишкек, Салон отделочных материаллов &quot;ПРЕМЬЕРА&quot; (ОсОО &quot;ЕвоТек&quot;) ";ул. Уметалиева, д. 84;Салон;Угол ул. Киевская;"ОсОО ""ЕвоТек""";"Салон отделочных материаллов ""ПРЕМЬЕРА""";"996312902501; 996312902502; 996770775075; 996556775075";;zakaz.evokz@mail.ru;www.evp.kg;10:00 - 19:00;10:00 - 17:00;Выходной;Нет;;6714
Тамбов, ИП Дудник И.П. ;улица Советская, д. 39;;;ИП Дудник И.П.;ИП Дудник И.П.;89106528893;;;;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3211
Екатеринбург, ИП Мельников М.Ю. (Салон Европласт-Екатеринбург) ;пер.Базовый, 47А, 1 этаж;Салон магазин в административном здании;"большой банер ""Лепнина Европласт"" просматривается от центрального входа в Леруа Мерлен";ИП Мельников М.Ю.;Салон Европласт-Екатеринбург;3433463213;info@evroplast-ekaterinburg.ru;info@evroplast-ekaterinburg.ru;www.evroplast-ekaterinburg.ru;10:00 - 19:00;11:00 - 18:00;Выходной;Нет;;3129
г. Москва, поселение Мосрентген, д.Дудкино, ИП Меграбян ;поселение Мосрентген, д.Дудкино, ул. Адмирала Корнилова, 1-й км, стр. 4;ТЦ Строймастер;;ИП Меграбян;пав. А-42, А-48, А-125, А-141;79688693883;ashot-mehrabyan@mail.ru;;;08:00 - 19:00;08:00 - 19:00;08:00 - 19:00;Да;;3109
"Москва, ВК &quot;Росстройэкспо&quot; (ООО &quot;Арт Декор Макс&quot;) ";Фрунзенская набережная, 30, пав.3, стенд 20;Росстройэкспо Фрунзенская;;;"ООО ""Арт Декор Макс""";"4957784000; 9151374753";Liser1975@mail.ru;Liser1975@mail.ru;;09:00 - 22:00;10:00 - 20:00;10:00 - 20:00;Да;;3109
"Омск, Отдел оптовых продаж (ООО &quot;Мир профиля&quot;) ";улица Октябрьская, д. 125 (2 этаж);;;"ООО ""Мир профиля""";Отдел оптовых продаж;"3812484444; 9026777077";evroplast-omsk@ya.ru;evroplast-omsk@ya.ru;evroplast-omsk.ru;10:00 - 19:00;Выходной;Выходной;Нет;;3172
"Павлодар, Дизайнерская студия &quot;Dream House New&quot;  (ТОО &quot;Dream House New&quot;) ";ул. М.Исиналиева, д. 58, этаж 1;"ТД ""Арай""";"за ТД ""Квазар"", въезд с ул.Пахомова, центральный вход";"ТОО ""Dream House New""";"Дизайнерская студия ""Dream House New"" ";"7472227787; 7018872748";region2@evp.kz;zakaz@evp.kz;;10:00 - 19:00;10:00 - 19:00;Выходной;Нет;;6331
"Омск, Центр современного интерьера и дизайна &quot;Люксоро Интерьер&quot; ";улица Пушкина, д. 137 (1 этаж);"Торговая галерея ""Сибирская пирамида""";;"ООО ""Люксоро Интерьер""";"Центр современного интерьера и дизайна ""Люксоро Интерьер""";"3812210294; 3812246337";info@luxorointerior.com;info@luxorointerior.com;luxorointerior.com;10:00 - 19:00;10:00 - 19:00;Выходной;Нет;;3172
"Москва,  г. Красногорск, Отдел: Стройматериалы (ООО &quot;Декор&quot;) ";г. Красногорск, ул. Международная, д.6 (66 км МКАД), 1 этаж;"ТК ""Твой Дом""";"Напротив ТК ""Крокус Сити Молл""";"ООО ""Декор""";Отдел: Стройматериалы;;;;evroplast.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3109
"Московская обл, Ленинский р-н, пос. Совхоза им. Ленина (ООО &quot;Декор&quot;) ";Московская обл., Ленинский р-н, пос. Совхоза им. Ленина (24 км МКАД), д. 2, этаж 1, Отдел: Стройматериалы;"ТК ""Твой Дом""";"Напротив ТК ""Вегас""";"ООО ""Декор""";Отдел: Стройматериалы;;;;evroplast.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3109
"Мытищи, Отдел: Стройматериалы (ООО &quot;Декор&quot;) ";Городской округ Мытищи, Осташковское ш., вл. 2, стр. 1 (91 км МКАД), 2 этаж;"ТК ""Твой Дом""";Напротив Леруа Мерлен;"ООО ""Декор""";Отдел: Стройматериалы;;;;evroplast.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3109
"Московская область, Красногорский район, Михалково дер., Отдел: Стройматериалы (ООО &quot;Декор&quot;) ";Красногорский район, Михалково дер., Новорижское ш., стр.1 (этаж 2);"ТК ""Твой Дом""";Мэйджор Сити;"ООО ""Декор""";Отдел: Стройматериалы;;;;evroplast.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3109
"Казань, ул.Адоратского, 3 (ООО &quot;Европласт Декор&quot;) ";ул. Адоратского, д.3, 1 этаж;;;"ООО ""Европласт Декор""";Европласт Декор;"8435220454; 9874101414";5220454@mail.ru;5220454@mail.ru;evroplastrt.ru;09:00 - 19:00;09:00 - 19:00;10:00 - 17:00;Да;;3260
"Казань, ул. Аделя Кутуя, д. 72 (ООО &quot;Европласт Декор&quot;) ";ул. Аделя Кутуя, д. 72;;;"ООО ""Европласт Декор""";Европласт Декор;"8432053005; 9874101414";5220454@mail.ru;5220454@mail.ru;evroplast-rt.ru;09:00 - 19:00;09:00 - 19:00;10:00 - 17:00;Да;;3260
Москва, Мытищи, Лепной Декор (ИП Новиков Р.В.) ;Московская обл., Мытищи, ул. Коммунистическая, д. 25 Г, к. 9, пав.1;"Торгово-строительный комплекс ""Тракт-Терминал""";Рядом с Администрацией;ИП Новиков Р.В.;Лепной Декор;9169351313;9351313@gmail.com;lepnina89@mail.ru;www.Lepnoydom.ru;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3109
Тула, Магазин ЛЕПНИНА (И.П. Новиков Р.В.) ;ул. Мосина, д. 2, этаж 1;ТЦ СтройДвор;;И.П. Новиков Р.В.;Магазин ЛЕПНИНА;"9255094511; 9207448322; 9255060319";lepnina89@mail.ru ;lepnina89@mail.ru ;www.europlast-lepnina.ru;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3217
Москва,  г. Красногорск, Лепнина (ИП Шаповалова) ;г. Красногорск, автодорога Балтия, стр. 1, пав. А-29;СтройДвор Петровский;;ИП Шаповалова;Лепнина;9031600741;89031600741@mail.ru;classikdekor@yandex.ru;lepninamarket.ru;09:00 - 19:00;10:00 - 16:00;10:00 - 16:00;Да;;3109
"Москва, ТК &quot;Твой Дом&quot; (ООО &quot;Декор&quot;) ";55 км МКАД, Хорошевский проезд, д. 14;"ТК ""Твой Дом""";Кунцевский авторынок;"ООО ""Декор""";Отдел: Стройматериалы.;;;;evroplast.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3109
"Рыбинск, Декор-центр &quot;Арагон&quot; (ООО &quot;Декор Коллекция&quot;) ";ул. Суркова, д. 2, 1 этаж;ТЦ АКСОН;;"ООО ""Декор Коллекция""";"Декор-центр ""Арагон""";9612461428;aragon-rbk@mail.ru;aragon-rbk@mail.ru;www.aragondeco.ru;09:00 - 21:00;09:00 - 21:00;09:00 - 21:00;Да;;6535
"Москва, &quot;Яуза&quot;  (ИП Амиршоева С.В.) ";МО, Осташковское шоссе, вл. 1Б, корпус 9, пав. 17 (1 этаж);"Стройдвор ""Яуза""";;ИП Амиршоева С.В.;"""Яуза""";"84956425677; 89264963559";mirlepnina77@mail.ru;mirlepnina77@mail.ru;mirlepnina.ru;09:00 - 18:00;09:00 - 17:00;09:00 - 17:00;Да;;3109
Якутск, ИП Васильева Е.В. ;ул. Чернышевского, д. 74, к.8, этаж 2, пав. 39, стенд 2;"ТЦ ""Азия""";;ИП Васильева Е.В.;;9142712777;Anturazh_ykt@mail.ru;Anturazh_ykt@mail.ru;;;;;Нет;;3239
"Ижевск, ООО &quot;Дженти&quot;, ТЦ &quot;СтройПорт&quot; ";ул. Кирова, 146, этаж 1, пав. 29;"Торговый центр ""СтройПорт""";вход со стороны ул. Кирова, после входа сразу направо;ООО «Дженти»;«Дженти»;9127650051;domdekora@djenti.ru;domdekora@djenti.ru;www.djenti.ru;09:00 - 20:00;10:00 - 19:00;10:00 - 19:00;Да;;3133
"Курган, дизайн-студия &quot;ENTERIOR&quot; (ИП Ермаков С.В.) ";ул. Красина, д. 23 (1 этаж), образцы, инсталляция;"дизайн-студия ""ENTERIOR""";;ИП Ермаков С.В.;"дизайн-студия ""ENTERIOR""";"3522550949; 9125733178";enterior-design@mail.ru;info@evroplast-ekaterinburg.ru;enterior.pro;09:00 - 19:00;Выходной;Выходной;Нет;;3481
Москва, дер. Брехово, Лепнина (ИП Григорян С.А.) ;"Солнечногорский район, дер. Брехово, Стройдвор ""БРЕХОВО"", Д10 Д11 Д47";"Стройдвор ""БРЕХОВО""";;ИП Григорян С.А.;Лепнина;"9262743177; 9258905866";info@planeta-decora.ru;info@planeta-decora.ru;planeta-decora.ru;08:00 - 20:00;08:00 - 20:00;08:00 - 20:00;Да;;3109
"Нефтеюганск, ООО &quot;Зеленый Дом&quot; ";улица Набережная, д. 7Г;"ООО ""Зеленый Дом""";;"ООО ""Зеленый Дом""";"ООО ""Зеленый Дом""";"9224114811; 9224459333";green-dom@rambler.ru;green-dom@rambler.ru;vk.com/remont_nefteugansk группа ВК;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;6305
"Ковров, ТВЦ &quot;Аладдин&quot; (И.П. Балакин А.В.) ";ул. Шмидта, д. 14, к.4, 1 этаж;торговый центр;;И.П. Балакин А.В.;"ТВЦ ""Аладдин""";"4923290600; 4997555227";info@planeta-decora.ru;info@planeta-decora.ru;planeta-decora.ru;9:00 - 19:00;9:00 - 17:00;9:00 - 17:00;Да;;3121
"Муром, Магазин &quot;Товары для дома&quot; (ООО &quot;ВМС &quot;Колор&quot;) ";ул. Коммунистическая, д. 1;торговый центр;;"ООО ""ВМС ""Колор""";"Магазин ""Товары для дома""";"4923422760; 4923491804";wms08@mail.ru;wms08@mail.ru;planeta-decora.ru;8:00 - 18:00;8:00 - 15:00;8:00 - 15:00;Да;;36881
"Санкт-Петербург, Магазин&Склад «Пулково» (ООО &quot;Питерра&quot;) ";5-й Предпортовый проезд, д. 22Б;отдельный салон;;"ООО ""Питерра""";Магазин склад Пулково;"8124383940; доб. 783,784,627";shop@piterra.ru;shop@piterra.ru;www.piterra.ru;10:00 - 20:00;11:00 - 20:00;11:00 - 20:00;Да;;3196
"Москва, Шоу - рум мебели и декора &quot;Living&quot; (ООО Интердекор) ";Ленинградский пр-т, д. 30, стр.1, 1 этаж;"Шоу - рум мебели и декора ""Living""";"Шоу - рум находится рядом с театром ""Ромэн""";ООО Интердекор;"Шоу - рум мебели и декора ""Living""";"88005053698; 84956144592";sale@living.su;sale@living.su;living.su;10:00 - 20:00;11:00 - 20:00;11:00 - 20:00;Да;;3109
Янаул, салон  штор Аристократ (ИП Миннебаева Р.К.) ;г. Янаул, ул. Советская, д.15, 2 этаж;"ТЦ ""Семья""";;ИП Миннебаева Р.К.;салон штор Аристократ;9870976768;ROZA.MINNEBAEVA63@MAIL.RU;ROZA.MINNEBAEVA63@MAIL.RU;;09:00 - 19:00;10:00-18:00;10:00-18:00;Да;;37795
Краснодар, Dom&Decor (ИП Федоров В.А.) ;г. Краснодар, улица Северная, д.320, центральный вход, 1 этаж;;вход с ул. Северной;Dom&Decor (ИП Федоров В.А.);Лепнина Европласт;"9628551550; 9184490047";salon4@dom-decor.com;salon4@dom-decor.com;www.evroplast-krd.ru ;09:00 - 18:00;09:00 - 16:00;09:00 - 16:00;Да;;3149
"Липецк, Салон &quot;ART HOME&quot; (ИП Симушова) ";ул. Стаханова, д. 59, 1 этаж;"Салон ""ART HOME""";;ИП Симушова;"Салон ""ART HOME""";9192518563;sima2287@yandex.ru;;;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3331
"Новосибирск, DECOLE шоу-рум, ООО &quot;ДЕКОЛЕ&quot; ";ул.Фабричная, д. 31, корпус 5;"Лофт-квартал ""Мельница"", Вход М-11";"отдельно стоящее здание справа от въезда в Лофт-квартал ""Мельница""";"ООО ""ДЕКОЛЕ""";DECOLE шоу-рум;"3833596040; 3833596041";manager@evroplast-nsk.ru;manager@evroplast-nsk.ru;www.evroplast-nsk.ru;10:00 - 18:00;по договоренности;Выходной;Нет;;3170
"Сызрань, Бутик интерьера &quot;FORROOM&quot; (офис, склад) связка ";улица Ново-Садовая, д. 14а;;;ООО Форрум;офис FORROOM;8462409016;foroom@forroom.ru;forroom@forroom.ru;www.samara.cc;10:00 - 19:00;11.00 - 17.00;Выходной;Нет;;42161
Уфа, Салон Розет (ИП Розет А.Р.) ;Менделеева, д. 158, к.2, 2 этаж;Выставочный комплекс ВДНХ ДОМ;островок рядом с лифтом;ИП Розет А.Р.;Лепной Декор;9373250157;andrey.rozet@mail.ru;rozetufa@gmail.com;;11:00 - 19:00;Выходной;Выходной;Нет;;3223
Уфа, бутик Европласт (ТРК Радуга) ;Индустриальное шоссе, д. 44/1, 2 этаж, пав. 1, бутик  2- 22 Б;ТРК Радуга;;ИП Розет Э.Ф.;Бутик Европласт;"73472463167; 9272344082; 9178043828";rozetre@mail.ru;rozetufa@gmail.com;www.ufa-rozet.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3223
"Москва, PITERRA ТВК &quot;Экспострой&quot; ";Нахимовский проспект, д.24, павильон 2, этаж 2, стенд 259;"Торгово-выставочный комплекс ""Экспострой""";;ООО ПИТЕРРА;PITERRA;"4957776685; доб. 382,396";382@piterra.ru;shop@piterra.ru;www.piterra.ru;10:00 - 20:00;10:00 - 19:00;10:00 - 19:00;Да;;3109
"Череповец, Салон &quot;Da Vinci&quot; (ИП Колодин И.Н.) ";ул. Ленинградская, 8;;;ИП Колодин И.Н.;"Салон ""Da Vinci""";"9211310436; 8202201112";salon_davinci@mail.ru ;evroplast.35@mail.ru ;;10:00 - 19:00;10:00 - 17:00;10:00 - 16:00;Да;;3443
"Нур-Султан (Астана), Салон &quot;Премьера&quot; , TOO Evolution Technologies (Мангилик Ел, 24) ";пр-т. Мангилик Ел, д. 24 , 1 этаж;"ЖК ""Авиценна""";;TOO Evolution Technologies;"Салон ""Премьера""";"7781041881; 7770666617";ast.sales@evp.kz;ast.sales@evp.kz;www.premiera.kz;10:00 - 20:00;10:00 - 17:00;11:00 - 16:00;Да;;3342
Алматы, TOO Evolution Technologies ( ул. Кабдолова, 3) ; ул. Кабдолова, 3, блок 1, линия В, 1 этаж, пав. 4;"Торговый комплекс ""Армада""";;TOO Evolution Technologies;Салон Премьера;"7272273052; 7477567680";armada1@evp.kz;armada1@evp.kz;www.premiera.kz;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3310
Алматы, TOO Evolution Technologies (ул. Жибек Жолы, 135) ;Жибек Жолы, 135/10А, 1 этаж, бутик А23а;ТК Жибек Жолы;;TOO Evolution Technologies;Салон Премьера;"7273170977; 7471930174";sales4@evp.kz;sales4@evp.kz;www.premiera.kz;10:00 - 19:00;10:00 - 17:00;Выходной;Нет;;3310
"Севастополь, салон Европласт (ООО &quot;Элит Дом&quot;) ";ул.Пожарова, д. 21, (ТЦ), 1 этаж;;нижняя парковка ТЦ;"ООО ""Элит Дом""";салон Европласт;9787838283;elitdom-crimea@yandex.ru;elitdom-crimea@yandex.ru;www.vita-color.ru;09:00 - 18:00;Выходной;Выходной;Нет;;46432
Симферополь, Европласт (ТЦ Seneha City) ;ул.Генерала Васильева, д. 43, (ТЦ), 2 этаж;;;ТЦ Seneha City;Европласт;9780229819;elitdom@ukr.net;elitdom@ukr.net;www.vita-color.ru;11:00 - 19:00;11:00 - 19:00;11:00 - 19:00;Да;;6142
Курск, Салон-магазин МастерДом (ИП Шаталова Т.Л.) ;Пр-т Кулакова, д. 26, 2 этаж;Торговый центр;;ИП Шаталова Т.Л.;Салон-магазин МастерДом;4712227827;masterdomkursk@yandex.ru;;;09:00 - 20:00;09:00 - 20:00;09:00 - 20:00;Да;;3154
Москва, Лепнина ТК Петровский (ИП Липадат) ;Новорижское шоссе, 9-й км, ТК Петровский, пав. Д-23;ТК Петровский;;ИП Липадат С.Л.;Лепнина интерьерная, фасадная;"9264256637; 9032397957";lipadat@mail.ru;lipadat@mail.ru;;08:00 - 21:00;09:00 - 20:00;09:00 - 20:00;Да;;3109
Москва, Лепнина ТК Бессарабка (ИП Липадат) ;Московская обл., Павловская Слобода, улица Ленина, 76/2, пав. 19-21;ТК Бессарабка;;ИП Липадат;Лепнина;"9267226081; 9268397749";lipadat@mail.ru;lipadat@mail.ru;;09:00 - 20:00;09:00 - 19:00;09:00 - 19:00;Да;;3109
"Пенза, ИП Асаева Н.Е., ООО &quot;ДЕКОР&quot; ";ул. Плеханова, д.14, этаж 1, ;Самостоятельные торговые точки;;"ИП Асаева Н.Е., ООО ""ДЕКОР""";м-н Центр Обоев;8412200777;coevroplast@yandex.ru;coevroplast@yandex.ru;centroboev.ru;09:00 - 19:00;09:00 - 19:00;09:00 - 18:00;Да;;3180
Пермь, ИП Катаев А.А. ;ул. Н. Островского, 44а, 2-этаж;отдельно стоящее здание;а/заправка на ул. Тихой;ИП Катаев А.А.;ВИЗАРД;3422141400;plotnikov_wizard@mail.ru;plotnikov_wizard@mail.ru;;10:00 - 19:00;11:00 - 18:00;Выходной;Нет;;3182
Сочи, Dom&Decor (ИП Федоров В.А.) ;ул. Гагарина, 71, центральный вход, 1 этаж;;;Dom&Decor (ИП Федоров В.А.);Dom&Decor;"9615331115; 9184397172";salon5@dom-decor.com;salon5@dom-decor.com;www.evroplast-krd.ru ;09:00 - 18:00;выходной;выходной;Нет;;3202
Анапа, Dom&Decor (ИП Федоров В.А.) ;г.Краснодар, ул. Бабушкина, 285, центральный вход, 5 этаж;;;Dom&Decor (ИП Федоров В.А.);Dom&Decor;"9628581640; 9184490047";salon4@dom-decor.com;salon4@dom-decor.com;www.evroplast-krd.ru ;09:00 - 19:00;Выходной;Выходной;Нет;;6157
Армавир, Dom&Decor (ИП Федоров В.А.) ;г.Краснодар, ул. Бабушкина, 285, центральный вход, 5 этаж;;;Dom&Decor (ИП Федоров В.А.);Dom&Decor;"9184490047; 9628551550";salon4@dom-decor.com;salon4@dom-decor.com;www.evroplast-krd.ru ;09:00 - 19:00;Выходной;Выходной;Нет;;3685
Владикавказ, Dom&Decor (ИП Федоров В.А.) ;г.Краснодар, ул. Бабушкина, 285, центральный вход, 5 этаж;;;Dom&Decor (ИП Федоров В.А.);Dom&Decor;"9898017208; 9184490047";salon4@dom-decor.com;salon4@dom-decor.com;www.evroplast-krd.ru ;09:00 - 18:00;Выходной;Выходной;Нет;;6681
Геленджик, Dom&Decor (ИП Федоров В.А.) ;г.Краснодар, ул. Бабушкина, 285, центральный вход, 5 этаж;;;Dom&Decor (ИП Федоров В.А.);Dom&Decor;"9628581640; 9184490047";salon4@dom-decor.com;salon4@dom-decor.com;www.evroplast-krd.ru ;09:00 - 19:00;Выходной;Выходной;Нет;;6679
Ейск, Dom&Decor (ИП Федоров В.А.) ;г.Краснодар, ул. Бабушкина, 285, центральный вход, 5 этаж;;;Dom&Decor (ИП Федоров В.А.);Dom&Decor;"9184490047; 9628551550";salon4@dom-decor.com;salon4@dom-decor.com;www.evroplast-krd.ru ;09:00 - 18:00;Выходной;Выходной;Нет;;47495
Кропоткин, Dom&Decor (ИП Федоров В.А.) ;г.Краснодар, ул. Бабушкина, 285, центральный вход, 5 этаж;;;Dom&Decor (ИП Федоров В.А.);Dom&Decor;"9184490047; 9628551550";salon4@dom-decor.com;salon4@dom-decor.com;www.evroplast-krd.ru ;10:00 - 19:00;Выходной;Выходной;Нет;;6159
