 Дата  вопроса ;Вопрос;Ответ;Город
﻿19.01.2022; Добрый  день!  Вопрос  по  4.16.002.    Интересует  внутренний  диаметр  и  толщина  стенки  полуколонны.  Спасибо! ; Добрый  день,  Александр,  скрин  из  каталога  чертёж  http://joxi.ru/DmB5o55Tg7RB0r,  если  остались  вопросы  пишите. ;Киев
﻿20.01.2022; здравствуйте!  как  можно  связаться  с  вами    ,  чтобы  сотрудничать  с  вами?   ; Добрый  день,  Александр.  наш  менеджер  свяжется  с  Вами.   ;Москва
﻿20.01.2022; Добрый  день!  Где  можно  посмотреть  инструкцию  по  монтажу  стеновых  панелей  из  коллекции  Мавритания?  Спасибо! ; Добрый  день.  На  указанную  электронную  почту  направлено  описание  -  как  монтировать  элементы  из  коллекции  Мавритания.  В  письме  указаны  контактные  данные,  будут  вопросы  звоните,  или  пришлите  номер  телефона,  мы  свяжемся  с  Вами.  Спасибо. ;Волгоград
﻿20.01.2022; Добрый  день!  Подойдёт  ли  КАРНИЗ  1.50.101  для  натяжного  потолка?   ; Виктория,  добрый  день.  Карниз  можно  монтировать  под  натяжной  потолок.  Монтаж  производится  креплением  на  одну  (нижнюю)  клеевую  поверхность,  дополнительно  подкрепляется  саморезами    -2-3  шт  на  изделие  Монтаж  производится  по  принципу  светового  карниза,  с  пошаговой  инструкцией  можно  ознакомиться  на  нашем  сайте  в  разделе  Монтаж/Инструкции/Монтаж  карниза  для  скрытого  освещения:  https://evroplast.ru/download/#instructions  Будут  вопросы  звоните  по  тел:  +7  968-819-03-97  Александра. ;Краснодар
﻿20.01.2022; Здравствуйте!  Есть  ли  у  вас  декоративные  панели  под  рейки?  и  можно  ли  их  покрасить? ; Добрый  день,  только  такая  модель  https://evroplast.ru/moldingi/1-51-362/ ;Воронеж
﻿21.01.2022; почему  на  сайте  нельзя  заказать  карниз,  который  начинается  на  6?  например:  6.50.299 ; Добрый  день,  Мария.    К  сожалению  часть  ассортимента  не  представлена  на  сайте.    Вы  можете  заказать  интересующие  вас  позиции  по  телефону.  Наш  менеджер  для  этого  свяжется  с  Вами.  ожидайте  звонка.   ;Москва
﻿21.01.2022; Подобрать  мягкий  плинтус  и  галтель ; Добрый  день,  Дмитрий.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Европласт-Санкт-Петербург  PITERRA  Отдел  продаж  8  (800)  707-01-67  с  10:00  до  20:00  Shop@piterra.ru  www.piterra.ru     ;Санкт-Петербург
﻿22.01.2022; Можно  ли  заказать  размер  длина  80  ширина  20? ; Добрый  день,  Екатерина,  уточните  пожалуйста  какой  ассортимент  вас  интересует. ;Тольятти
﻿22.01.2022; Добрый  день,  какую  скидку  вы  даёте  дизайнерам? ; Добрый  день,  Ани.  Наш  менеджер  свяжется  с  Вами.   ;Москва
﻿23.01.2022; Хотела  бы  с  Вами  сотрудничать.  Переехала  в  Краснодар  из  Сочи.  В  идеале  бы  минуя  посредников,  потому  как  с  ними  в  Сочи  работа  не  заладилась,  не  хотела  бы  обжигаться  снова.   ; Добрый  день,  Валентина.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Европласт-Краснодар  компания  "Дом  Декора"  (ИП  Кириков)  Магазин  "Лепнина  Европласт",  г.  Краснодар,  ул.  Северная,  320,  1  этаж  +7  (962)  855-15-50,  +7  (918)  449-00-47  E-mail:  salon1-krd@decorinfo.ru  www.evroplast-krd.ru   ;Краснодар
﻿24.01.2022; Здравствуйте,  какой  карниз  подходит  под  натяжной  потолок,  чтобы  крепление  было  только  к  стене,  напишите  артикула   ;;Новосибирск
﻿24.01.2022; Добрый  день!    Не  могли  бы  Вы  помочь  рассчитать  для  заказа  плинтус    Необходим  полиуретановый,  высотой  100  мм    Есть  ли  у  вас  такие? ; Добрый  день,  Евгения.    Наш  менеджер  свяжется  с  Вами  и  проконсультирует.   ;Москва
﻿24.01.2022; Здравствуйте,  помогите  с  выбором,  нужен  карниз  под  интерьер  с  современной  кованной  кроватью ; Добрый  день,  Оксана.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  ЕВРОПЛАСТ-БЕЛАРУСЬ  Товарищество  собственников  Пономаренко,  35  А  ЧТУП  "Салон  интерьера"  Адрес:    г.  Минск,  улица  Пономаренко,  35А,  оф.  103    Телефон/факс:  +375  (17)  202-20-00,  +375  (44)  575-06-97  E-mail:  dekor-si@mail.ru  www.dekorus.by   ;Минск
﻿26.01.2022; Размер  плинтус  а   ; Добрый  день,  менеджер  свяжется  с  вами  в  ближайшее  время. ;Москва
﻿26.01.2022; Размер  плинтус  а   ; Добрый  день,  Оксана.    с  Вами  свяжется  наш  менеджер. ;Москва
﻿26.01.2022; Добрый  день,  подскажите  пожалуйста  можно  ли  у  вас  подобрать  лепнину  по  существующему  проекту?  Если  ли  у  вас  такая  услуга  подбора?   ; Добрый  день,  Екатерина.    да,  мы  сможем  подобрать  лепнину  по  проекту.  Для  уточнения  подробностей  с  Вами  свяжется  наш  менеджер  по  телефону.   ;Москва
﻿26.01.2022; Занимаюсь  арками  и  колоннами  и  лепнпым  декором  из  гипса  Хотел  бы  узнать  по  поводу  сотрудничества  с  вами ; Добрый  день,  Эльдар.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  ЕВРОПЛАСТ-ИЖЕВСК  ООО  «Дженти»  Строительный  центр  «Гвоздь»,  ул.  Удмуртская,  304,  корпус  4,  этаж  2,  пав.  326,  зеленый  зал,  2  этаж  Тел.:  +7  (3412)  65-65-30,  +7  (919)  916-80-30    domdekora@djenti.ru    www.djenti.ru   ;Ижевск
﻿26.01.2022; Здравствуйте!  Меня  их  интересует  размер  карниза,  артикул  1.50.209.  Высота  указана  15  см  -она  считается,  если  провести  прямой  угол,  то  15  см?  Мне  нужен  карниз  на  двухуровневый  потолок.  Высота  второго  уровня  15  см.  Подойдёт  он?  Ещё  я  подобрала  по  составляющим  колонны.  Они  друг  другу  подходят.  Фото  в  приложении ;;Симферополь
﻿26.01.2022; Здравствуйте!  Меня  их  интересует  размер  карниза,  артикул  1.50.209.  Высота  указана  15  см  -она  считается,  если  провести  прямой  угол,  то  15  см?  Мне  нужен  карниз  на  двухуровневый  потолок.  Высота  второго  уровня  15  см.  Подойдёт  он?  Ещё  я  подобрала  по  составляющим  колонны.  Они  друг  другу  подходят.  Фото  в  приложении ; Наталья,  добрый  день,  в  каком  городе  вы  находитесь,  уточните  пожалуйста. ;Симферополь
﻿27.01.2022; Есть  у  вас  данный  стыковочный  клей  (фото  во  вложении) ; Добрый  день,  Андрей.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Европласт-Екатеринбург  ИП  Мельников  М.Ю.  Адрес:  г.  Екатеринбург,  пер.  Базовый,  47А,  1  этаж  большой  банер  "Лепнина  Европласт"  просматривается  от  центрального  входа  в  Леруа  Мерлен  Телефон/факс:  +7  (343)  346-32-13  E-mail:  info@evroplast-ekaterinburg.ru  www.evroplast-ekaterinburg.ru   ;Екатеринбург
﻿28.01.2022; Здравствуйте.  Подскажите,  пожалуйста,  артикулы  потолочных  карнизов,  подходящих  для  крепления  к  стене  (при  натяжном  потолке). ; Добрый  день,  Наталья.  В  каком  городе  вы  находитесь?  Наш  представитель  свяжется  с  Вами  и  проконсультирует. ;Москва
﻿29.01.2022; Добрый  день!  Сотрудничаете  ли  вы  с  дизайнерами?  Если  да,  расскажите,  пожалуйста,  об  условиях. ; Добрый  день,  Ирина.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:    ЕВРОПЛАСТ-САМАРА  Бутик  интерьера  Forroom  ООО  "Форрум"  Адрес:  ул.  Арцыбушевская,  д.  33  (1  этаж)  Телефон/факс:  +7  (846)  200-06-43  E-mail:  forroom@forroom.ru   ;Самара
﻿29.01.2022; Я  бы  хотела  сделать  рамки  на  квартире.  Мне  нужна  консультация,  чтобы  посчитать  количество,  и  размеры.  Также  меня  интересует  ваша  установка   ; Добрый  день.  Натия!  В  понедельник,  сотрудник  сервисного  отдела  свяжется  с  Вами  по  указанному  номеру  телефона.  Спасибо.   ;Москва
﻿30.01.2022; Добрый  день!  Я  дизайнер.  Нужен  карниз  с  вентотверстиями.  Возможно  ли  сделать  отверстия  в  готовых  карнизах  на  производстве  по  нашему  ТЗ?  Гипсовые  применять  нет  возможности,  по  пенополиуретановым  не  могу  найти  информацию. ; Добрый  день,  Ирина.  Пришлите  пожалуйста  чертёж. ;Москва
﻿31.01.2022; Каким  образом  наладить  сотрудничество?    Какие  у  вас  условия?  Я  дизайнер,  Ксения  Седая. ; Добрый  день,  Ксения.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Европласт-Краснодар  компания  "Дом  Декора"  (ИП  Кириков)  Магазин  "Лепнина  Европласт",  г.  Краснодар,  ул.  Северная,  320,  1  этаж  +7  (962)  855-15-50,  +7  (918)  449-00-47  E-mail:  salon1-krd@decorinfo.ru  www.evroplast-krd.ru   ;Краснодар
﻿31.01.2022; Скажите,  пожалуйста,  к  какой  степени  огнестойкости/горючести  относятся  интерьерные  изделия  Европласт  по  классификации  КМ-1,2,3? ;;Алматы
﻿31.01.2022; Добрый  день  !  Есть  ли  у  вас  в  наличии  розетка  1.56.047.  Подскажите  стоимость  ? ; Добрый  день,  Наталья.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Европласт-Краснодар  компания  "Дом  Декора"  (ИП  Кириков)  Магазин  "Лепнина  Европласт",  г.  Краснодар,  ул.  Северная,  320,  1  этаж  +7  (962)  855-15-50,  +7  (918)  449-00-47  E-mail:  salon1-krd@decorinfo.ru  www.evroplast-krd.ru  У  компании-дилера  есть  собственное  представительство  со  складом  Европласт  в  г.  Сочи    Европласт-Сочи  компания  "Дом  Декора"  (ИП  Кириков)  Адрес:  г.  Сочи,  ул.  Гагарина,  71,  центральный  вход,  1  этаж  Телефон/факс:  +7  (961)  533-11-15,  +7  (962)  858-16-41  E-mail:  salon-sochi@decorinfo.ru  www.evroplast-krd.ru   ;Сочи
﻿01.02.2022; Добрый  день!  Нас  интересует  условия  как  стать  дилерами  вашей  компании.  Мы  оказываем  услуги  по  монтажу  изделий  из  полиуретана,  к  нам  часто  обращаются  по  поводу  покупки  вашей  продукции. ; Добрый  день,  Мария.    с  Вами  свяжется  наш  менеджер.   ;Москва
﻿01.02.2022; Добрый  день!  У  карниза    1.50.142  гибкий  в  свойствах  указан  радиус  более  5000  мм  при  радиусе  около  3000мм  не  ляжет  на  поверхность?  Карниз  планируем  расположить  широкой  стороной  по  стене,  т.е.  вертикально.  Мне  кажется  в  этом  случае  гибкость  данного  карниза  будет  достаточной  для  расположения  на  полукруглой  поверхности.    И  второй  вопрос.  На  каких  условиях  ваша  организация  работает  с  дизайнерами? ; Добрый  день,  Наталья.  Если  широкой  частью  на  стену,  то  минимальный  радиус  будет  меньше,  скорее  всего  он  ляжет. ;Ярославль
﻿02.02.2022; Добрый  день!  При  монтаже  молдингов  и  карнизов  разошлись  швы.  Клей  и  стыковочный  и  монтажный.  Молдинги  просто  начали  усыхать  на  глазах! ; Добрый  день,  Наиля.  Для  определения  причины  расхождения  швов,  свяжемся  с  Вами  сегодня  в  течении  дня.  Спасибо. ;Курган
﻿02.02.2022; Добрый  день!  Уточните  пожалуйста,  какая  технология  склеивания  торцов  галтелей.  У  нас  галтель  1.51.711.    1.Клей  наноситься  по  всей  торцевой  поверхности  или  точечно?  2.  При  выступании  клея?  при  стыковке  элементов  остаются  подтеки.  Критично  ли  это  в  дальнейшем?  Не  проступят  ли  после  подтеки    клея  через  краску. ; Добрый  день,  Александр.  Клей  при  монтаже  наносится  круговыми  движениями,  заполняя  всю  клеевую  поверхность.  При  установке/прижатии  элементов,  клей  должен  выступить  наружу,  заполнив  всю  торцевую  площадь.  Излишки    выступившего  клея  необходимо  удалить  влажной  ветошью  (ацетон,  уайтспирит).  Более  подробное  описание  по  стыковке  элементов  декора  ТМ  Европласт,  отправлено  на  указанную  электронную  почту.  Будут  вопросы,  звоните  по  тел:  +7926-847-13-57  Александра. ;Санкт-Петербург
﻿02.02.2022; Добрый  день.  Подскажите,  пожалуйста,  нужно  ли  грунтовать  молдинг  1.51.322  перед  покраской  Dulux  ultra  resist  для  кухни  и  ванны? ; Добрый  день,  Александра.  Перед  покраской  дополнительно  грунтовать  молдинг  не  нужно,  изделия  покрыты  заводским  грунтом.  Необходимо  перед  началом  покраски  обеспылить/обезжирить  смонтированные  элементы  влажной  ветошью.  Возникнут  вопросы  звоните  по  телефону:  +7968-819-03-97  Александра. ;Москва
﻿03.02.2022;89882341004; Добрый  день,  наш  представитель  свяжется  с  Вами  в  ближайшее  время. ;Сочи
﻿03.02.2022; Добрый  день!Есть  ли  у  вас  что-то  похожее  на  стену? ; Добрый  день,  Татьяна.  наш  менеджер  свяжется  с  Вами  и  предложит  подходящие  модели.   ;Москва
﻿03.02.2022; Заказала  на  сайте  у  вас  2  розетки  на  потолок.  Сумма  заказа  менее  4  тыс  рублей.  Написала  адрес  для  доставки.  Также  на  сайте  указано,  что  я  могу  оплатить  заказ  при  получении  курьеру  наличными  либо  картой.    По  факту  после  заказа  со  мной  связались  по  электронной    почте  из  локального  представительства  и  сказали,  без  полной  оплаты  не  примут  заказ.  Более  того  надо  забирать  издение  со  склада,  а  если  мне  нужна  доставка,    то  надо  звонить  по  какому-то  номеру  и  обсуждать  доставку.    Решили  что  проще  забрать  самим,  чем  еще  с  кучей  людей  о  чем-то  договариваться.  Оплатила  заказ.  Мне  на  почту  пришло  подтверждение,  что  оплата  прошла  и  во  вложении  прислали  договор,  который  мне  надо  распечатать  и  привезти  с  собой  для  получения(!!!).  Более  того  в  договоре  поставили  имя  того  от  кого  пришли  деньги,  а  не  того  на  кого  сделан  заказ  был.    Честно  сказать  я  первый  раз  вижу  такой  "интернет-магазин".  Мало  того  что  информация  на  сайте  не  соответствует  действительности,    так  еще  и  я  как  клиент  должна  печатать  какие-то  документы  и  привозить  на  склад!  Вы  напишите  большими  буквами  на  сайте,  что  клиенту  придется  делать  для  получения  заказа,  чтобы  не  вводить  клиентов  в  замешательство.  Либо  договоритесь  с  локальными  дистрибьюторами,  чтобы  они  голову  людям  не  морочили.     ; Добрый  день,  Екатерина.  Уточните  в  каком  городе  Вы  находитесь?  В  каком  интернет-магазине  делали  заказ?  Оставьте  телефон  для  связи. ;Петропавловск-Камчатский
﻿03.02.2022; Здравствуйте,  интересует  вот  такой  комплект  на  дверь.  Можете  написать  артикулы? ; Ирина,  добрый  день,  все  артикулы  есть  на  фото.  https://evroplast.ru/sandriki/1-63-001/  https://evroplast.ru/moldingi/1-51-307/  https://evroplast.ru/obramlenie-arok/1-54-030/ ; Нижний  Новгород 
﻿03.02.2022; Добрый  день!  Хотим  приобрести  потолочный  карниз,  нужна  ваша  помощь.  Потолок  натяжной,  поэтому  нужен  максимально  широкий  10-12  см,  но  с  креплением  на  стену.    Заранее  благодарю ; Добрый  день,  вот  самая  популярная  модель  https://evroplast.ru/gibkie-karnizy/1-50-121/ ;Самара
﻿04.02.2022; Здравствуйте,  у  меня  вопрос  по  розетке  1.56.054  Какой  размер  кольца  в  центре?  Подойдет  ли  люстра  в  14  см  ?   ; Добрый  день,  Максим,  Размер  кольца  170мм. ;Пермь
﻿04.02.2022; Добрый  день,  я-практикующий  дизайнер,  расскажите  о  условиях  сотрудничества.     ; Добрый  день,  Анастасия.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Европласт-Краснодар  компания  "Дом  Декора"  (ИП  Кириков)  Магазин  "Лепнина  Европласт",  г.  Краснодар,  ул.  Северная,  320,  1  этаж  +7  (962)  855-15-50,  +7  (918)  449-00-47  E-mail:  salon1-krd@decorinfo.ru  www.evroplast-krd.ru    У  компании-дилера  есть  собственное  представительство  со  складом  Европласт  в  г.  Сочи    Европласт-Сочи  компания  "Дом  Декора"  (ИП  Кириков)  Адрес:  г.  Сочи,  ул.  Гагарина,  71,  центральный  вход,  1  этаж  Телефон/факс:  +7  (961)  533-11-15,  +7  (962)  858-16-41  E-mail:  salon-sochi@decorinfo.ru  www.evroplast-krd.ru   ;Сочи
﻿05.02.2022; Добрый  день!  Хотелось  бы  узнать,есть  у  Вас  в  наличии  Клей  стыковочный  (Европласт)  и  клей  контактный  (Европласт).  И  по  какому  адресу  находится  Ваш  магазин?Для  срочности  мы  могли  бы  сами  приехать  и  купить.  Спасибо! ; Добрый  день,  наш  представитель  свяжется  с  Вами  в  ближайшее  время. ;Владимир
﻿06.02.2022; Сотрудничество  с  дизайнерами ; Добрый  день,  Елена.  с  Вами  свяжется  наш  менеджер.   ;Москва
﻿07.02.2022; Потолочный  плинтус   ; Добрый  день,  Марина.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Европласт-Санкт-Петербург  PITERRA  Отдел  продаж  8  (800)  707-01-67  с  10:00  до  20:00  Shop@piterra.ru  www.piterra.ru     ;Санкт-Петербург
﻿07.02.2022; Добрый  день.    Приобрел  плинтуса  Вашего  производства  из  пенополиуретана  для  дома.  Хочу  уточнить  последовательность  действий  по  окраске  плинтусов.  На  данный  момент  у  меня  лежит  чистовой  пол  и  сделана  финишная  обработка  стен  (стены  окрашены,  пол  керамогранит).  Интересует:    1)  плинтуса  лучше  красить    до  приклеивания  (окрашивать  до  мест  будущих  стыков,  после  монтажа  докрасить  стыки  и  места  примыкания  к  стене)  или  после  монтажа?    2)  требуется  ли  предварительное  грунтование?  Если  да,  то  какой  грунт  используется.  Буду  рад  за  полученные  ответы,  а  также  дополнительную  информацию  по  запрошенным  вопросам.    Спасибо.    С  уважением,  Дмитрий. ; Добрый  день,  Дмитрий!  Плинтуса  красятся  после  монтажа.В  процессе  установки  возможны  царапины,  потертости  и  т.п,  в  связи  с  чем  потребуется  повторная  покраска.  Перед  покраской  смонтированные  элементы  грунтовать  не  нужно,  они  покрыты  заводским  грунтом  и  готовы  к  покраске,  необходимо  только  обеспылить/обезжирить  влажной  ветошью.  Краску  для  напольных  плинтусов  лучше  выбирать  стойкую  к  истиранию,  ни  в  коем  случае  нельзя  красить  красками  на  основе  растворителя,  такие  краски  просто  испортят  поверхность  плинтуса.  Необходимо  подбирать  только  водно-дисперсные  краски.  Будут  вопросы  звоните  по  тел:  +7926-847-13-57  Александра.  Спасибо. ;Минск
﻿07.02.2022; Здравствуйте!  Подскажите  какой  должен  быть  размер  диска  для  подгонки  наружных  и  внутренних  углов  ?  Карниз  1.50.117 ; Добрый  день.  При  монтаже  декоративных  элементов  Европласт,  рекомендуется  применять  профессиональный  инструмент  –  Торцовочная  пила  DEWALT/MAKITA  с  диском  Ø  305  мм,  посадка  30  мм,  толщина  диска  1.8  мм,  толщина  пропила  2.6  мм,  количество  зубьев  80  шт.,  геометрия  зуба  -трапецевидный    с  углом  заточки  -5.  Например:  Диск  пильный  Dewalt  по  дереву  305*30*80  DT4283.  Будут  вопросы  звоните  по  тел:  8  926-847-13-57  Александра. ;Москва
﻿08.02.2022; Здраствуйте.  Подскажите  пожалуйста  магазин  рядом  с  Азнакаево. ; Добрый  день,  Инзиль.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  ООО  «ЕВРОПЛАСТ  ДЕКОР»  Казань,  ул.  Адоратского,  д.3,    +7  (843)  522-04-54,  +7  (987)  410-14-14,    5220454@mail.ru  Казань,  ул.  Аделя  Кутуя,  д.  72,    +7  (843)  205-30-05,  +7  (987)  410-14-14,    5220454@mail.ru   ;Лениногорск
﻿08.02.2022; Здравствуйте!Я  уже  купила  карниз1.50.124,а  плинтус  1.53.103,скажите  пожалуйста  ,  какой  молдинг  и  разметка  подходить?   ; Добрый  день,  наш  представитель  свяжется  и  проконсультирует  вас. ;Иркутск
﻿08.02.2022; Здравствуйте!  Подскажите,  карниз  1.50.295  гибкий  на  арочное  окно  подойдёт?   ; Алексей,  добрый  день.  Для  консультации  с  Вами  сегодня  в  течении  дня  свяжется  специалист  сервисного  отдела.  Спасибо.   ;Краснодар
﻿09.02.2022; Добрый  день.  можно  ли  гибким  молдингом  и  карнизом  обернуть  колонну  по  спирали.   ; Добрый  день,  всё  зависит  от  радиуса  колонны.  Наш  представитель  свяжется  с  вами  для  консультации. ;Караганда
﻿09.02.2022; Хочу  заказать  карнизы   ; Добрый  день,  Галина  .  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Европласт-Санкт-Петербург  PITERRA  Отдел  продаж  8  (800)  707-01-67  с  10:00  до  20:00  Shop@piterra.ru  www.piterra.ru     ;Санкт-Петербург
﻿09.02.2022; Хочу  заказать  такие  карнизы  они  подходят  для  натяжных  потолков? ; Галина,  добрый  день,  да,  подойдёт.  Вы  в  каком  городе  находитесь? ;Сыктывкар
﻿09.02.2022; Добры  день!  я  дизайнер  интерьера,  хотела  узнать  подробности  возможности  сотрудничества  с  вами.  спасибо.  Личный  кабинет  зарегистрировала.     ; Добрый  вечер,  Ева.    личный  кабинет  создан  пока  только  за  заказов.  Наш  менеджер  свяжется  с  Вами  и  расскажет  об  условиях.   ;Москва
﻿10.02.2022; a:2:{s:4:"TEXT",s:405:"День  добрый.  Подскажите,  есть  ли  в  нашем  городе  специалисты  по  запилу  углов  для  карниза?  У  наших  строителей  не  получается  состыковать  карниз.  Или  может  есть  мастер  -класс  для  строителей?  Надеюсь  на  вашу  помощь ; Светлана,  добрый  день.  На  указанную  электронную  почту  направлено  письмо.  По  возможности  пришлите  фото  карниза  и  фото  поверхности  -  куда  устанавливают.  Или  вышлите  на  Вотсап  по  телефону:  +7926-847-13-57  Александра. ;Караганда
﻿11.02.2022;89897585497; Добрый  день.  На  Ваш  автоответчик  оставили  сообщение.  Напишите,  какой  у  Вас  вопрос  по  продукции?  В  каком  городе  Вы  находитесь?   ;Сочи
﻿11.02.2022; Добрый  день.  Скажите,  пожалуйста,  любой  карниз  и  молдинг  можно  так  согнуть  для  арки?   ; Добрый  день,  Раушан.  Всё  зависит  от  радиуса  изгиба..  Наш  представитель  свяжется  с  вами  для  консультации. ; Нур-Султан  (Астана) 
﻿11.02.2022; Интересует  гибкость  орнаментов  и  их  крепление  в  сочетании  с  угловыми  элементами  и  молдингами   ;;Саратов
﻿11.02.2022; Здравствуйте!  Подойдет  ли  плинтус  потолочный    83х81х2000  мм  белый,  арт.Т.6.50.165  к  гибкому  150165  ИЗ  ПОЛИУРЕТАНА?  Спасибо! ; Добрый  день,  Татьяна.  Рекомендую,  использовать  изделия  в  жёстком  и  гибком  виде  из  пенополиуретана. ;Санкт-Петербург
﻿11.02.2022; Добрый  вечер!  Дополнение  к  вопросу  3265.  А  в  чем  разница  между  этими  плинтусами?  Почему  он  не  подходит?  По  размеру  совпадает  вроде  бы. ; Они  из  разных  материалов,  6.  -  это  полистирол  1  -  полиуретан.  Поэтому  возможно  не  стыковка. ;Санкт-Петербург
﻿11.02.2022; Здравствуйте,  скажите  пожалуйста  ,  в  ближайшие  дни  будет  повышение  цен  на    карнизы ; Добрый  день,  Татьяна.  Да,  будет  повышение  цен  с  14  февраля. ;Москва
﻿12.02.2022; Здравствуйте,  интересует  артикул  6.51.400  На  сайте  нашла  только  1.51.400,  это  одно  и  тоже? ; Добрый  день,  Надия.  Это  разные  артикулы,  наш  представитель  свяжется  с  вами  в  ближайшее  время. ;Астрахань
﻿13.02.2022; Добрый  день!  Подскажите,  пожалуйста,  есть  ли  у  вас  модели  молдингов  на  стену,  которые  гнуться  и  могут  на  стене  образовывать  сглаженный  угол,  как  на  картинке?  Заранее  спасибо! ; Добрый  день,  Елена.  На  такой  маленький  радиус  моддинги  гибкие  не  гнутся,  но  данную  задумку  можно  реализовать  путём  запилов  жёсткого  молдинга  в  радиус,  за  подробной  консультацией  вы  можете  обратиться  в  наш  сервисный  отдел  Телефон/факс:  +7  495  315  30  40  доб.  5 ;Ярославль
